rms_waves,strehl
0.0,1.0
0.002,0.9998420987972899
0.004,0.9993685447701516
0.006,0.9985797864254201
0.008,0.9974765704878743
0.01,0.996059940722142
0.012,0.9943312362870128
0.014,0.9922920896257886
0.016,0.9899444238973276
0.018,0.9872904499534362
0.02,0.9843326628692644
0.022,0.9810738380343218
0.024,0.977517026812691
0.026,0.9736655517819335
0.028,0.9695230015610908
0.03,0.9650932252390468
0.032,0.9603803264153604
0.034,0.955388656866482
0.036,0.9501228098510354
0.038,0.9445876130685781
0.04,0.9387881212869448
0.042,0.9327296086539284
0.044,0.9264175607096585
0.046,0.9198576661165985
0.048,0.9130558081246005
0.05,0.906018055788923
0.052,0.8987506549595361
0.054,0.8912600190604131
0.056,0.8835527196778252
0.058,0.8756354769769287
0.06,0.8675151499661533
0.062,0.8591987266290712
0.064,0.8506933139435424
0.066,0.8420061278080011
0.068,0.8331444828947646
0.07,0.824115782450212
0.072,0.8149275080616
0.074,0.8055872094101458
0.076,0.7961024940298366
0.078,0.7864810170911888
0.08,0.7767304712289156
0.082,0.7668585764321405
0.084,0.7568730700154381
0.086,0.7467816966885772
0.088,0.7365921987424061
0.09,0.7263123063678365
0.092,0.7159497281243684
0.094,0.7055121415740471
0.096,0.6950071840961629
0.098,0.6844424438973926
0.1,0.6738254512314336
0.102,0.6631636698415274
0.104,0.6524644886385667
0.106,0.6417352136267758
0.108,0.6309830600882236
0.11,0.6202151450366749
0.112,0.6094384799505328
0.114,0.5986599637938451
0.116,0.5878863763335672
0.118,0.5771243717604837
0.12,0.5663804726203958
0.122,0.5556610640613848
0.124,0.5449723884021632
0.126,0.53432054002573
0.128,0.5237114606017566
0.13,0.5131509346403422
0.132,0.5026445853790056
0.134,0.49219787100400775
0.136,0.48181608120635416
0.138,0.47150433407208003
0.14,0.46126757330570173
0.142,0.4511105657850139
0.144,0.4410378994447207
0.146,0.4310539814857328
0.148,0.421163036906311
0.15,0.41136910735062493
0.152,0.40167605026969755
0.154,0.3920875383891406
0.156,0.38260705947754403
0.158,0.3732379164088697
0.16,0.3639832275117154
0.162,0.3548459271978607
0.164,0.3458287668620797
0.166,0.33693431604481444
0.168,0.32816496384893257
0.17,0.31952292060146914
0.172,0.31101021975094106
0.174,0.30262871999055807
0.176,0.2943801075974172
0.178,0.2862658989775476
0.18,0.27828744340651207
0.182,0.27044592595510875
0.184,0.26274237058960903
0.186,0.2551776434358786
0.188,0.24775245619666478
0.19,0.24046736971131188
0.192,0.2333227976471547
0.194,0.22631901031187163
0.196,0.21945613857612462
0.198,0.21273417789588947
0.2,0.20615299242398244
